theta,recall,precision,far,f1,dist_to_ideal
0.01,0.9949,0.2138,0.9879,0.352,0.987913164200174
0.0133,0.9935,0.2152,0.9785,0.3537,0.9785215889289312
0.0166,0.9928,0.2172,0.966,0.3565,0.9660268319254905
0.0199,0.9884,0.2191,0.9513,0.3587,0.951370721643251
0.0232,0.9863,0.2227,0.9297,0.3633,0.9298009356846227
0.0266,0.9841,0.2265,0.9074,0.3683,0.907539293915145
0.0299,0.979,0.2316,0.8771,0.3746,0.8773513606303919
0.0332,0.9768,0.238,0.8445,0.3828,0.8448186136680466
0.0365,0.9732,0.2453,0.8087,0.3918,0.8091439488743644
0.0398,0.9696,0.2511,0.7808,0.3989,0.7813915791714164
0.0431,0.9609,0.2554,0.7565,0.4035,0.7575097755144814
0.0464,0.9559,0.2614,0.7294,0.4105,0.7307319412753216
0.0497,0.9428,0.2656,0.7038,0.4145,0.7061205846029416
0.053,0.9349,0.2718,0.6764,0.4211,0.6795255477169346
0.0564,0.9247,0.2766,0.6532,0.4258,0.6575259158390641
0.0597,0.9197,0.2836,0.6274,0.4335,0.632517865360339
0.063,0.9117,0.2893,0.6049,0.4392,0.6113108047466526
0.0663,0.903,0.2965,0.5785,0.4464,0.5865758689206367
0.0696,0.8973,0.3037,0.5555,0.4538,0.5649137456284808
0.0729,0.8929,0.3111,0.5338,0.4615,0.5444381048383737
0.0762,0.8915,0.3202,0.5111,0.4711,0.5224896745391242
0.0795,0.8871,0.33,0.4863,0.4811,0.4992335124969076
0.0828,0.8806,0.3387,0.4642,0.4892,0.47930992061504424
0.0861,0.8792,0.3484,0.4439,0.4991,0.4600433131782268
0.0895,0.869,0.3568,0.423,0.5059,0.44282050539693846
0.0928,0.8618,0.3663,0.4025,0.5141,0.425564906917852
0.0961,0.8575,0.3767,0.3832,0.5234,0.40883797524202664
0.0994,0.8502,0.3842,0.3679,0.5293,0.39722846071247214
0.1027,0.8415,0.3937,0.3499,0.5364,0.38412531809293693
0.106,0.835,0.4013,0.3365,0.542,0.37477626659114904
0.1093,0.83,0.4108,0.3214,0.5496,0.36359037390998133
0.1126,0.8256,0.4189,0.3093,0.5558,0.35508006139460996
0.1159,0.8184,0.4279,0.2954,0.562,0.34675599490131387
0.1193,0.8155,0.4365,0.2843,0.5686,0.33891996105275357
0.1226,0.8126,0.4435,0.2753,0.5738,0.3330298034711008
0.1259,0.8082,0.453,0.2636,0.5806,0.32599417172704176
0.1292,0.8054,0.462,0.2532,0.5872,0.31934213627393426
0.1325,0.8017,0.4715,0.2427,0.5938,0.3134105614046853
0.1358,0.7996,0.4819,0.2321,0.6014,0.30664404445545657
0.1391,0.7981,0.4911,0.2233,0.608,0.301042355823894
0.1424,0.7902,0.4998,0.2136,0.6123,0.2994010688023675
0.1457,0.7865,0.5079,0.2057,0.6173,0.2964704707049253
0.1491,0.7822,0.5162,0.1979,0.622,0.29428090322003564
0.1524,0.7815,0.5263,0.1899,0.629,0.2894896543920007
0.1557,0.7793,0.5377,0.1809,0.6363,0.28536520460630793
0.159,0.7757,0.5467,0.1737,0.6413,0.2836938138204639
0.1623,0.7685,0.5546,0.1667,0.6442,0.2852737983061186
0.1656,0.7648,0.5658,0.1585,0.6505,0.2836217375308176
0.1689,0.7619,0.5738,0.1528,0.6546,0.28291244228559476
0.1722,0.7605,0.5839,0.1463,0.6606,0.2806491403870677
0.1755,0.7554,0.5945,0.1391,0.6654,0.28138580276908076
0.1789,0.7496,0.6044,0.1325,0.6693,0.2832956229806595
0.1822,0.746,0.6155,0.1258,0.6745,0.2834460089681984
0.1855,0.7431,0.6312,0.1172,0.6826,0.2823711210446281
0.1888,0.741,0.6444,0.1104,0.6893,0.28154779345610226
0.1921,0.7395,0.6572,0.1041,0.6959,0.2805299627490796
0.1954,0.7381,0.6675,0.0993,0.701,0.28009302026291194
0.1987,0.7359,0.678,0.0944,0.7058,0.2804642044896282
0.202,0.7323,0.6903,0.0887,0.7107,0.28201237561497194
0.2053,0.7294,0.7,0.0844,0.7144,0.28345673391189696
0.2086,0.7279,0.7065,0.0817,0.717,0.2841008623710952
0.212,0.7265,0.7126,0.0791,0.7195,0.2847087283523285
